ResidentDate,event_type
12/12/2016,Cyclone Vardah
13/12/2016,Cyclone Vardah
1/11/2017,Heavy Rains & Flooding
2/11/2017,Heavy Rains & Flooding
3/11/2017,Heavy Rains & Flooding
4/11/2017,Heavy Rains & Flooding
5/11/2017,Heavy Rains & Flooding
30/11/2017,Cyclone Ockhi
1/12/2017,Cyclone Ockhi
2/12/2017,Cyclone Ockhi
30/10/2018,Heavy Rains & Flooding
31/10/2018,Heavy Rains & Flooding
1/11/2018,Heavy Rains & Flooding
15/11/2018,Cyclone Gaja
16/11/2018,Cyclone Gaja
6/11/2021,Heavy Rains & Flooding
7/11/2021,Heavy Rains & Flooding
8/11/2021,Heavy Rains & Flooding
9/11/2021,Heavy Rains & Flooding
10/11/2021,Heavy Rains & Flooding
11/11/2021,Heavy Rains & Flooding
12/11/2021,Heavy Rains & Flooding
30/12/2021,Heavy Rains & Flooding
31/12/2021,Heavy Rains & Flooding
1/01/2022,Heavy Rains & Flooding
2/01/2022,Heavy Rains & Flooding
29/10/2022,Heavy Rains & Localized Flooding
30/10/2022,Heavy Rains & Localized Flooding
31/10/2022,Heavy Rains & Localized Flooding
9/11/2022,Heavy Rains & Flooding
10/11/2022,Heavy Rains & Flooding
11/11/2022,Heavy Rains & Flooding
