ResidentDate,temperature_max,temperature_min,precipitation,event_type
21/03/2017,32.7,26.4,0,None
22/03/2017,31.8,25.5,0,None
23/03/2017,31.8,24.3,0,None
24/03/2017,31.8,23.6,0,None
25/03/2017,31.6,23,0,None
26/03/2017,31.3,23.7,0,Sunday
27/03/2017,32.2,22.9,0,None
28/03/2017,32.3,25.3,0,Holiday
29/03/2017,32.5,24.6,0,None
30/03/2017,33.1,25.9,0,None
31/03/2017,32.7,26.7,0,None
1/04/2017,33.5,24.7,0,None
2/04/2017,33.8,25.8,0,Sunday
3/04/2017,33.2,27.1,0,None
4/04/2017,32.3,27.2,0.5,Holiday
5/04/2017,33.1,27.5,0.7,None
6/04/2017,33.4,27,0,None
7/04/2017,34,26.4,0,None
8/04/2017,33,26.4,0,None
9/04/2017,33.1,26.2,0.1,Holiday
10/04/2017,34.6,26.7,0,None
11/04/2017,33.8,27.3,0,Holiday
12/04/2017,33.3,26.8,0,None
13/04/2017,32.9,26.3,0,Holiday
14/04/2017,33,25.3,0,Holiday
15/04/2017,33.4,23.9,0,Holiday
16/04/2017,36.4,25.8,0,Holiday
17/04/2017,36.3,27.1,0,None
18/04/2017,35,28.3,0,None
19/04/2017,34.7,27.5,0,None
20/04/2017,34.5,27.5,0,None
21/04/2017,35.1,28,0,None
22/04/2017,35.1,27.8,0,None
23/04/2017,34.9,28.3,0,Sunday
24/04/2017,34.3,28.2,0,None
25/04/2017,34.1,28.2,0,None
26/04/2017,34.5,27.7,0,None
27/04/2017,34.6,27.1,0,None
28/04/2017,34.1,27.6,0,None
29/04/2017,33.8,27.5,0,None
30/04/2017,33.8,27.1,0,Sunday
1/05/2017,33.1,27.7,0.9,Holiday
2/05/2017,32.9,27.4,0.1,None
3/05/2017,32.5,27,0.7,None
4/05/2017,33.7,27,0.2,None
5/05/2017,33.6,27.3,0,None
6/05/2017,33.9,28.3,0.2,None
7/05/2017,33.9,28.5,0.3,Sunday
8/05/2017,34.5,27.9,0,None
9/05/2017,34.7,28.5,0,Holiday
10/05/2017,31.8,28,0.5,Holiday
11/05/2017,33.1,27.4,1.4,None
12/05/2017,32.2,28.1,1.4,None
13/05/2017,33.7,27.3,0.5,None
14/05/2017,35.3,28,0,Holiday
15/05/2017,36.8,28.6,0,None
16/05/2017,37.6,28.7,0,None
17/05/2017,40.2,30,0,None
18/05/2017,41.1,30.5,0,None
19/05/2017,39.2,29.9,0.1,None
20/05/2017,38.2,29,0,None
21/05/2017,35.4,29.4,0,Sunday
22/05/2017,35.4,28.8,0,None
23/05/2017,36.2,28.1,0,None
24/05/2017,36.9,29.3,0,None
25/05/2017,35.7,28.9,0,None
26/05/2017,37.9,29,0.9,None
27/05/2017,37.3,28.4,0,None
28/05/2017,39.1,28.5,0.4,Sunday
29/05/2017,39.5,30.6,0.2,None
30/05/2017,40.2,30.3,0,None
31/05/2017,37.3,29.9,0,None
1/06/2017,36.4,28.4,0,None
2/06/2017,33.9,28.4,0,None
3/06/2017,36.6,28.7,0.5,None
4/06/2017,38.2,30,0,Sunday
5/06/2017,38.3,29.1,0.6,None
6/06/2017,37,28.5,10.5,None
7/06/2017,32.4,26.8,0,None
8/06/2017,32.5,28,0.3,None
9/06/2017,35.5,28.3,0,None
10/06/2017,36,29.2,1,None
11/06/2017,35.9,29,0.2,Sunday
12/06/2017,36.4,28.8,0.1,None
13/06/2017,35.2,28.6,0.6,None
14/06/2017,36.3,28.6,0.3,None
15/06/2017,34.2,28.2,0.5,None
16/06/2017,32.3,27.9,1.9,None
17/06/2017,34.4,27.1,0.6,None
18/06/2017,34.6,27.9,0.3,Holiday
19/06/2017,34.9,26.9,6,None
20/06/2017,31.2,25.8,5.4,None
21/06/2017,34.5,27.3,0.3,Holiday
22/06/2017,34.3,27.6,0,None
23/06/2017,34.9,28,6.1,Holiday
24/06/2017,31.9,26.1,0.8,None
25/06/2017,33.7,27.3,0.2,Holiday
26/06/2017,34.6,28.4,0.9,Holiday
27/06/2017,34.3,28.6,0,None
28/06/2017,34.2,28.4,0.1,None
29/06/2017,36.4,29,0,None
30/06/2017,36.4,28.6,1.2,None
1/07/2017,35.3,26.7,2.1,None
2/07/2017,35.9,28.5,0,Sunday
3/07/2017,35.8,28.6,1.4,None
4/07/2017,35.8,28.3,0,None
5/07/2017,37.1,28,0,None
6/07/2017,36.3,28.9,0.1,None
7/07/2017,33.6,25.8,0,None
8/07/2017,33.1,27.1,1,None
9/07/2017,35,27.3,5.5,Holiday
10/07/2017,33.7,26.1,0.1,None
11/07/2017,35,27.8,0.9,None
12/07/2017,29.6,25,11.3,None
13/07/2017,31.9,26.1,0.1,None
14/07/2017,33.1,27.1,0,None
15/07/2017,34.3,27.5,0,None
16/07/2017,34.7,27,0,Sunday
17/07/2017,35.2,28.1,0.5,None
18/07/2017,33.9,28.1,0.7,None
19/07/2017,35.1,28,0.7,None
20/07/2017,35.3,27.9,0,None
21/07/2017,36.4,28.1,0,None
22/07/2017,35.9,28.5,0,None
23/07/2017,36.4,28.5,0.2,Sunday
24/07/2017,35.5,28.4,0.1,None
25/07/2017,36.1,28.3,0.1,None
26/07/2017,35,27.9,1.1,None
27/07/2017,35,27,1.1,None
28/07/2017,35.4,26.4,8.5,None
29/07/2017,32.3,24.9,12.8,None
30/07/2017,34.4,26.1,7.8,Sunday
31/07/2017,32.2,25.1,9.7,None
1/08/2017,34.3,26,11.2,None
2/08/2017,34,25.6,0.9,None
3/08/2017,35.3,27.1,2.8,None
4/08/2017,35.5,27.7,0.8,None
5/08/2017,34.7,27.3,2.7,None
6/08/2017,33.9,26.5,3.5,Holiday
7/08/2017,31.6,27.1,4.5,Holiday
8/08/2017,33.5,25.3,10.8,None
9/08/2017,32.2,25.5,11.7,None
10/08/2017,31.1,25.1,14.7,None
11/08/2017,31.6,26,5.5,None
12/08/2017,32.1,25.9,16.3,None
13/08/2017,32.3,25,21.9,Sunday
14/08/2017,31.3,25,4.9,Holiday
15/08/2017,30.9,24.9,11.9,Holiday
16/08/2017,33,25.9,0.8,None
17/08/2017,31.7,25.8,10.2,Holiday
18/08/2017,29,25.4,25.6,None
19/08/2017,32.4,25.4,1.7,None
20/08/2017,31.8,25.7,0,Sunday
21/08/2017,32,25.7,9.7,None
22/08/2017,31.3,25.3,5.7,None
23/08/2017,32.2,26.2,9.4,None
24/08/2017,31.4,25.7,12,None
25/08/2017,30,24.9,15.8,Holiday
