ResidentDate,Total_Admissions,ResidentDate_year,ResidentDate_month,ResidentDate_day,ResidentDate_weekday,is_weekend,season,temperature_max,temperature_min,temp_range,precipitation,is_rain,Festival,pandemic_flag,disaster_flag,Total_Admissions_Lag1,Total_Admissions_Lag7,Total_Admissions_MA7,Total_Admissions_MA14,Total_Admissions_EMA,Total_Admissions_Rolling_Std,Total_Admissions_Rolling_Min,Total_Admissions_Rolling_Max
2017-03-21,46,2017,3,21,1,0,2,32.7,26.4,6.300000000000004,0.0,0,0,0,0,46.0,46.0,54.285714285714285,55.285714285714285,46.0,5.908025211926732,46.0,66.0
2017-03-22,53,2017,3,22,2,0,2,31.8,25.5,6.300000000000001,0.0,0,0,0,0,46.0,46.0,54.285714285714285,55.285714285714285,47.75,5.908025211926732,46.0,66.0
2017-03-23,53,2017,3,23,3,0,2,31.8,24.3,7.5,0.0,0,0,0,0,53.0,46.0,54.285714285714285,55.285714285714285,49.0625,5.908025211926732,46.0,66.0
2017-03-24,54,2017,3,24,4,0,2,31.8,23.6,8.2,0.0,0,0,0,0,53.0,46.0,54.285714285714285,55.285714285714285,50.296875,5.908025211926732,46.0,66.0
2017-03-25,54,2017,3,25,5,1,2,31.6,23.0,8.600000000000001,0.0,0,0,0,0,54.0,46.0,54.285714285714285,55.285714285714285,51.22265625,5.908025211926732,46.0,66.0
2017-03-26,54,2017,3,26,6,1,2,31.3,23.7,7.600000000000001,0.0,0,1,0,0,54.0,46.0,54.285714285714285,55.285714285714285,51.9169921875,5.908025211926732,46.0,66.0
2017-03-27,66,2017,3,27,0,0,2,32.2,22.9,9.300000000000004,0.0,0,0,0,0,54.0,46.0,54.285714285714285,55.285714285714285,55.437744140625,5.908025211926732,46.0,66.0
2017-03-28,43,2017,3,28,1,0,2,32.3,25.3,6.9999999999999964,0.0,0,1,0,0,66.0,46.0,53.857142857142854,55.285714285714285,52.32830810546875,6.669047194029329,43.0,66.0
2017-03-29,47,2017,3,29,2,0,2,32.5,24.6,7.899999999999999,0.0,0,0,0,0,43.0,53.0,53.0,55.285714285714285,50.99623107910156,7.164728420068226,43.0,66.0
2017-03-30,64,2017,3,30,3,0,2,33.1,25.9,7.200000000000003,0.0,0,0,0,0,47.0,53.0,54.57142857142857,55.285714285714285,54.24717330932617,8.283661486266059,43.0,66.0
