Date,Forecasted_Admissions,Predicted_Doctors_Allocated,Predicted_Nurses_Allocated,Predicted_Beds_Allocated
2022-03-21,67,8,37,67
2022-03-22,71,8,38,71
2022-03-23,69,8,38,69
2022-03-24,72,8,39,72
2022-03-25,73,8,39,73
2022-03-26,70,8,38,70
2022-03-27,68,8,37,68
2022-03-28,68,8,37,68
2022-03-29,68,8,37,68
2022-03-30,68,8,37,68
2022-03-31,70,8,38,70
2022-04-01,71,8,38,71
2022-04-02,67,8,37,67
2022-04-03,65,8,37,65
2022-04-04,66,8,37,66
2022-04-05,65,8,37,65
2022-04-06,68,8,37,68
2022-04-07,71,8,38,71
2022-04-08,73,8,39,73
2022-04-09,68,8,37,68
2022-04-10,68,8,37,68
2022-04-11,68,8,37,68
2022-04-12,70,8,38,70
2022-04-13,71,8,38,71
2022-04-14,72,8,39,72
2022-04-15,75,8,40,75
2022-04-16,72,8,39,72
2022-04-17,71,8,38,71
2022-04-18,72,8,39,72
2022-04-19,73,8,39,73
2022-04-20,71,8,38,71
2022-04-21,75,8,40,75
2022-04-22,72,8,39,72
2022-04-23,69,8,38,69
2022-04-24,68,8,37,68
2022-04-25,69,8,38,69
2022-04-26,69,8,38,69
2022-04-27,70,8,38,70
2022-04-28,73,8,39,73
2022-04-29,74,8,39,74
2022-04-30,73,8,39,73
2022-05-01,74,8,39,74
2022-05-02,75,8,40,75
2022-05-03,73,8,39,73
2022-05-04,73,8,39,73
2022-05-05,76,8,40,76
2022-05-06,78,8,41,78
2022-05-07,74,8,39,74
2022-05-08,70,8,38,70
2022-05-09,70,8,38,70
2022-05-10,73,8,39,73
2022-05-11,79,8,41,79
2022-05-12,82,8,42,82
2022-05-13,84,8,43,84
2022-05-14,80,8,41,80
2022-05-15,78,8,41,78
2022-05-16,79,8,41,79
2022-05-17,80,8,41,80
2022-05-18,74,8,39,74
2022-05-19,77,8,40,77
2022-05-20,80,8,41,80
2022-05-21,74,8,39,74
2022-05-22,70,8,38,70
2022-05-23,69,8,38,69
2022-05-24,70,8,38,70
2022-05-25,70,8,38,70
2022-05-26,74,8,39,74
2022-05-27,81,8,42,81
2022-05-28,78,8,41,78
2022-05-29,82,8,42,82
2022-05-30,82,8,42,82
2022-05-31,82,8,42,82
2022-06-01,82,8,42,82
2022-06-02,84,8,43,84
2022-06-03,84,8,43,84
2022-06-04,76,8,40,76
2022-06-05,71,8,38,71
2022-06-06,73,8,39,73
2022-06-07,73,8,39,73
2022-06-08,72,8,39,72
2022-06-09,74,8,39,74
2022-06-10,76,8,40,76
2022-06-11,75,8,40,75
2022-06-12,71,8,38,71
2022-06-13,72,8,39,72
2022-06-14,73,8,39,73
2022-06-15,75,8,40,75
2022-06-16,77,8,40,77
2022-06-17,81,8,42,81
2022-06-18,78,8,41,78
